,sentence
18638,puts washington  as honest working man john q archibald  on a pedestal  then keeps lifting the pedestal higher 
18639, all credibility flies out the window  
18640,a good chance 
18641,it s a masterpiece  
18642,pass for a litmus test of the generation gap and not bad enough to repulse any generation of its fans 
18643, the château is never quite able to overcome the cultural moat surrounding its ludicrous and contrived plot   
18644,its hawaiian setting  the sciencefiction trimmings and 
18645,the leads are natural and lovely  the pace is serene  the humor wry and sprightly  
18646,catch me  feels capable of charming the masses with star power  a popinduced score and sentimental moments that have become a spielberg trademark  
18647,pointless  stupid 
18648,is repellantly out of control 
18649,it s definitely not made for kids or their parents  for that matter  
18650,to be bored by as your abc s 
18651,realize there s no place for this story to go but down 
18652,with its unflinching gaze a measure of faith in the future 
18653,it gives poor dana carvey nothing to do that is really funny 
18654, 18 million charmer 
18655,the animation and game phenomenon that peaked about three years ago is actually dying a slow death  if the poor quality of pokemon 4 ever is any indication  
18656,is painful to watch 
18657,are we dealing with dreams  visions or being told what actually happened as if it were the third ending of clue 
18658,as a story of dramatic enlightenment  the screenplay by billy ray and terry george leaves something to be desired  
18659,pushed to their most virtuous limits  
18660,sick sight 
18661,overdramatic 
18662,cheapen the overall effect 
18663,is to catch the pitch of his poetics  savor the pleasure of his sounds and images  and ponder the historical  philosophical  and ethical issues that intersect with them 
18664,is wasted in this crass  lowwattage endeavor  
18665,highlight 
18666,will ever be anything more than losers 
18667,a dashing and resourceful hero  a lisping  reptilian villain  
18668,pungent 
18669,could very well clinch him this year s razzie  
18670,a wellcrafted letdown  
18671,that its luckiest viewers will be seated next to one of those ignorant 
18672,sheridan s take on the author s schoolboy memoir  is a rather toothless take on a hard young life  
18673,the universal theme of becoming a better person through love has never been filmed more irresistibly than in  baran   
18674,angel of death 
18675,of gentle longing 
18676,cal is an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes  
18677,it s a scorcher  
18678,an empty exercise 
18679, more of an impish divertissement of themes that interest attal and gainsbourg  they live together  the film has a lot of charm  
18680,no matter how broomfield dresses it up  it tends to speculation  conspiracy theories or  at best  circumstantial evidence 
18681,full of detail about the man and his country  and is well worth seeing 
18682,the genre and another firstrate performance 
18683,falls under the category of  should have been a sketch on saturday night live   
18684,s the kind of effectively creepyscary thriller that has you fixating on a far corner of the screen at times because your nerves just ca nt take it any more 
18685,visually transforms the dreary expanse of deadend distaste the characters inhabit into a poem of art  music and metaphor  
18686,often funny 
18687,formal settings with motionless characters 
18688,of any opportunity for finding meaning in relationships or work 
18689, metropolis never seems hopelessly juvenile  
18690,predominantly amateur cast is painful to watch  
18691,likable movie 
18692,an ugly  revolting movie 
18693,it turns out to be significantly different  and better  than most films with this theme 
18694,the best brush 
18695,an uneven mix of dark satire and childhood awakening 
18696,that falls far short of the peculiarly moral amorality of  woo s  best work 
18697,a wretched movie that reduces the second world war to one man 
18698,soulless and  even more damning  virtually joyless 
18699,that rare creature  
18700,is smarter and subtler 
18701,stanzas of breathtaking  aweinspiring visual poetry 
18702,to waste their time 
18703,that might have required genuine acting from ms spears 
18704,is one of the biggest disappointments of the year 
18705,my ribcage did nt ache by the end of kung pow 
18706,you ve got a place in your heart for smokey robinson 
18707,worth a look as a curiosity  
18708,an unsettling sight  and indicative of his  if you will  outofkilter character  
18709,spontaneity in its execution and 
18710,where big stars and high production values are standard procedure 
18711,never feels derivative 
18712,lacks it 
18713,stop watching 
18714,is smart 
18715,of the theater 
18716,this  meandering and pointless french comingofage import from writerdirector annesophie birot 
18717,good intentions leads to the video store 
18718,a fine effort  
18719,s a riot to see rob schneider in a young woman s clothes 
18720,does a splendid job of racial profiling hollywood style  casting excellent latin actors of all ages  a trend long overdue  
18721,magnificent swooping aerial shots 
18722,smarter than its commercials make it seem  
18723,i love the opening scenes of a wintry new york city in 1899  
18724,just zings along with vibrance and warmth  
18725,is simply not enough of interest onscreen 
18726,a deliciously nonsensical comedy about a city coming apart at its seams  
18727,the writing is clever 
18728,a tiresome cliché 
18729,that between the son and his wife  and the wife and the father  and between the two brothers  with incredible subtlety and acumen 
18730,an indepth portrait of an iconoclastic artist 
18731,disreputable 
18732,terrific 
18733,speculative effort 
18734,like a cheap lawn chair 
18735,one of the most plain  unimaginative romantic comedies i 
18736,screwball farce and bloodcurdling family intensity on one continuum 
18737,readymade midnight movie 
18738,s about as convincing as any other arnie musclefest  but has a little too much resonance with real world events and ultimately comes off as insultingly simplistic 
18739,intoxicating atmosphere and 
18740,rarely has skin looked as beautiful  desirable  even delectable  as it does in trouble every day  
18741,its overall sense of mystery 
18742,his greatest triumph is keeping the creepy crawlies hidden in the film s thick shadows 
18743,while there are times when the film s reach exceeds its grasp  the production works more often than it does nt  
18744,creates images even more haunting than those in mr spielberg s 1993 classic 
18745,there is a certain sense of experimentation and improvisation to this film that may not always work 
18746,visually compelling 
18747,recognizes the needs of moviegoers for real characters and compelling plots 
18748,brought me uncomfortably close to losing my lunch  
18749,to be a collection taken for the comedian at the end of the show 
18750,better script 
18751,is clear  not easily and  in the end  not well enough 
18752,a small movie 
18753,a really strong second effort 
18754,in artful  watery tones of blue  green and brown 
18755,silly subplots 
18756,that s always fun to watch 
18757,appropriate ferocity and thoughtfulness 
18758, spiderman  certainly delivers the goods 
18759,a realistically terrifying movie that puts another notch 
18760,to warm the hearts of animation enthusiasts of all ages 
18761,difficulty 
18762,tolerance and diversity 
18763,emotionally strong 
18764,this is lightweight filmmaking  to be sure  
18765,plodding picture 
18766,to seduce and conquer 
18767,cinematic intoxication 
18768,by false sentiment or sharp  overmanipulative hollywood practices 
18769,three sides of his story with a sensitivity and an inquisitiveness reminiscent of truffaut 
18770,mira nair s film is an absolute delight for all audiences 
18771,of these young women 
18772,a largerthanlife figure  an artist who has been awarded mythic status in contemporary culture 
18773,stodgy 
18774,if the director  tom dey  had spliced together bits and pieces of midnight run and 48 hours  and  for that matter  shrek  
18775,s a spontaneity to the chateau  a sense of lightheartedness  that makes it attractive throughout  
18776,is depressing  ruthlessly pained and depraved 
18777, then knock yourself out and enjoy the big screen postcard that is a selfglorified martin lawrence lovefest  
18778,affirming  
18779,that takes full  chilling advantage of its rougharoundtheedges  lowbudget constraints 
18780,more biologically detailed than an autopsy  the movie 
18781,for kids  spirit 
18782,with all the stomachturning violence  colorful new york gang lore and other hallmarks of his personal cinema painted on their largestever historical canvas 
18783,of intelligent humor 
18784,weighty revelations  flowery dialogue  
18785,broomfield s film does nt capture the effect of these tragic deaths on hiphop culture 
18786,of bright young men  promising  talented  charismatic and tragically 
18787,that manages to find greatness in the hue of its drastic iconography 
18788,most of the pitfalls you d expect in such a potentially sudsy setup 
18789,goes out into public  to avoid being recognized as the man who bilked unsuspecting moviegoers 
18790, pray does nt have a passion for the material  
18791,a tour de force 
18792,about something  one that attempts and often achieves a level of connection and concern 
18793,surprisingly sweet and gentle 
18794,results from adhering to the messiness of true stories 
18795,is enormously good fun 
18796,represents the depths to which the girlsbehavingbadly film has fallen 
18797,the absurdity of the premise 
18798,an extraordinary poignancy 
18799,was feeling this movie until it veered off too far into the exxon zone  and left me behind at the station looking for a return ticket to realism  
18800,if you re going to subjugate truth to the tearjerking demands of soap opera 
18801,lacks the spirit of the previous two  and makes all those jokes about hos and even more unmentionable subjects seem like mere splashing around in the muck  
18802,feels more like the pilot episode of a tv series 
18803,ca nt wait to see what the director does next 
18804,passionate and 
18805,the film is way too full of itself  it s stuffy and pretentious in a givemeanoscar kind of way  
18806,hollow  selfindulgent  and  worst of all  boring 
18807,buffoons 
18808,the mediocre end 
18809,denzel washington s fine performance 
18810,finds his inspiration on the fringes of the american underground 
18811,undercuts the joie de vivre even as he creates it  giving the movie a mournful undercurrent that places the goodtime shenanigans in welcome perspective  
18812,a casual intelligence that permeates the script 
18813,perfectly clear 
18814,ben kingsley is truly funny  playing a kind of ghandi gone bad  
18815,every suspenseful cliché in the book 
18816,getting the better of obnoxious adults 
18817,s still not a good movie 
18818,is nt as sharp as the original  despite some visual virtues   blade ii  just does nt cut it  
18819,it s hard to say who might enjoy this  are there tolstoy groupies out there  
18820,outpaces its contemporaries with daring and verve 
18821,splendidlooking as this particular film 
18822,resistance and artistic transcendence 
18823, witty  improbable romantic comedy 
18824,what they see in each other also is difficult to fathom  
18825,that mel gibson can gasp  shudder and even tremble without losing his machismo 
18826,absolutely 
18827,it s packed with adventure and a worthwhile environmental message  so it s great for the kids 
18828, the film  works  due mostly to the tongueincheek attitude of the screenplay  
18829,but it will just as likely make you weep  and it will do so in a way that does nt make you feel like a sucker  
18830,something to be taken seriously 
18831,s so devoid of joy and energy it makes even jason x  look positively shakesperean by comparison 
18832,the mundane 
18833, god help us  but capra and cooper are rolling over in their graves   
18834,allows each character to confront their problems openly and honestly  
18835,feels like the work of someone who may indeed have finally aged past his prime  and  perhaps more than he realizes  
18836,takes off in totally unexpected directions 
18837,manipulative and as bland 
18838,is so convincing that by movies  end you ll swear you are wet in some places and feel sand creeping in others  
18839,that the final product is a ghost 
18840,notwithstanding my problem with the movie s final half hour  i m going to recommend secretary  based on the wonderful acting clinic put on by spader and gyllenhaal  
18841,having been recycled more times than i d care to count 
18842,no palpable chemistry between lopez and male lead ralph fiennes 
18843,the soggy performances 
18844,as the filmmakers look down on their workingclass subjects from their lofty perch  that finally makes sex with strangers  which opens today in the new york metropolitan area  so distasteful 
18845, or  worse yet  nonexistent  ideas 
18846,a strongminded viewpoint  or a sense of humor 
18847,from the ages 
18848,makes you believe the cast and crew thoroughly enjoyed themselves and believed in their smallbudget film  
18849,a plethora of engaging diatribes 
18850, hypocritical 
18851,the modern master of the chase sequence returns with a chase to end all chases 
18852,crisp framing  edgy camera work 
18853,the flat dialogue by vincent r nebrida 
18854,is hard to tell who is chasing who or why 
18855,been hoping for 
18856,reminds us of our own responsibility 
18857,robert rodriguez adorns his familyfilm plot with an elegance and maturity that even most contemporary adult movies are lacking  
18858,uncool the only thing missing is the  gadzooks   
18859,the first shocking thing about sorority boys is that it s actually watchable  
18860,exhilarating  
18861,where janice beard falters in its recycled aspects  implausibility  and sags in pace  it rises in its courageousness  and comedic employment  
18862,it s a familiar story  but one that is presented with great sympathy and intelligence  
18863,check your pulse  
18864, humorous  illuminating study 
18865,highspirited buddy movie 
18866,the hand that has finally  to some extent  warmed up to him 
18867,a fun 
18868,sleazy moralizing 
18869,is shallow  offensive and redundant  with pitifully few real laughs 
18870,large budget notwithstanding  the movie is such a blip on the year s radar screen that it s tempting just to go with it for the ride  
18871,heartwarming and gently comic even as the film breaks your heart  
18872,that is more accurate than anything i have seen in an american film 
18873,gets around to its real emotional business  
18874,hey  happy  
18875,to see this terrific film with your kids  if you do nt have kids borrow some 
18876,clever and very satisfying picture 
18877,the humor aspects of  jason x  were far more entertaining than i had expected 
18878,amusing  sad and reflective 
18879,d watch these two together again in a new york minute  
18880,most interesting 
18881,great performances  stylish cinematography and a gritty feel help 
18882,derivative  overlong  and bombastic  
18883,ca nt rescue adrian lyne s unfaithful from its sleazy moralizing  
18884,fused with solid performances and eerie atmosphere 
18885,it appears not to have been edited at all 
18886,never quite achieves the feel of a fanciful motion picture  
18887,delicate 
18888,s not just a feelgood movie 
18889,leaden 
18890,goes bump in the night and nobody cares 
18891,that unfolds with grace and humor and gradually 
18892,that s neither completely enlightening  nor 
18893,15 years old 
18894,good things 
18895, chilling and heartwarming 
18896, elegant technology for the masses  
18897,no psychology here  and no real narrative logic  
18898,average bond 
18899,indoor drama 
18900,quite funny 
18901,to inhale this gutter romancer s secondhand material 
18902, washington s  strong hand  keen eye  sweet spirit and good taste 
18903,low rate annie 
18904,narrative grace 
18905,as boring before i see this piece of crap again 
18906,are disjointed  flaws that have to be laid squarely on taylor s doorstep  
18907,in its crapulence 
18908,kouyate elicits strong performances from his cast  
18909,a film neither bitter nor sweet  neither romantic nor comedic  neither warm nor fuzzy  
18910,s not original enough 
18911,parapsychological 
18912,carried out 
18913,is a shaky  uncertain film that nevertheless touches a few raw nerves 
18914,a catastrophic collision of tastelessness and gall 
18915,most of jaglom s selfconscious and gratingly irritating films 
18916,standard thriller and drag audience enthusiasm 
18917,it also happens to be good 
18918,put together with the preteen boy in mind  
18919,welldefined sense 
18920,biggie and tupac is undeniably subversive and involving in its bold presentation  
18921,as a film director  labute continues to improve  
18922,throws away the goodwill the first half of his movie generates by orchestrating a finale that is impenetrable and dull 
18923,will please eastwood s loyal fans 
18924,to his people 
18925,of its inventiveness 
18926,an oldfashioned drama of substance about a teacher 
18927,the forced funniness found in the dullest kiddie flicks 
18928,watch witherspoon s talents wasting away inside unnecessary films like legally blonde and sweet home abomination  i mean  
18929,eventual cult classic 
18930,touches the heart and the funnybone thanks to the energetic and always surprising performance 
18931,this terrific film 
18932,the shabby digital photography 
18933,it s soulful and unslick  and that s apparently just what  aniston  has always needed to grow into a movie career 
18934,an exit sign  that is  
18935,lacks juice and delight 
18936,confessions is without a doubt a memorable directorial debut from king hunk  
18937,by which all the queen s men is allegedly  inspired  was a lot funnier and more deftly enacted than what s been cobbled together onscreen 
18938,calculating fiend 
18939,has been written so well  that even a simple  goddammit   
18940,in all  a great party 
18941,this quality band 
18942,pretentious  
18943,distinguishable 
18944,in such a lousy way  complete with some of the year s  unintentionally  funniest moments  that it s impossible to care 
18945,every individual will see the movie through the prism of his or her own beliefs and prejudices 
18946,the worst possibilities of mankind 
18947,for a bad film 
18948,a satisfying destination 
18949,ate a reeses 
18950,a marvelous performance by allison lohman as an identityseeking foster child  
18951,draws us in long 
18952,the nightmare 
18953,riveting documentary  
18954,entertaining feature 
18955,pt anderson understands the grandness of romance and 
18956,it chiefly inspires you to drive a little faster 
18957, violent and mindless 
18958,black hawk down with more heart 
18959,it s fun  splashy and entertainingly nasty  
18960,if downbeat  
18961,just the sort of disposable  kitchensink homage that illustrates why the whole is so often less than the sum of its parts in today s hollywood 
18962,very good 
18963,wilson and murphy show how funny they could have been in a more ambitious movie 
18964,be missing a great deal of the acerbic repartee of the play 
18965,lovely toward the end 
18966,think of a film more cloyingly sappy than evelyn 
18967,that the new film is a lame kiddie flick and that carvey s considerable talents are wasted in it 
18968,this filmmaker s flailing reputation 
18969,from largely flat and uncreative moments 
18970,that steal your heart away 
18971,bad at a fraction the budget 
18972,interesting social parallel and defiant aesthetic 
18973,on and on to the point of nausea 
18974,lacks balance  and fails to put the struggle into meaningful historical context  
18975,endear itself 
18976,of those unassuming films that sneaks up on you and stays with you long after you have left the theater 
18977,is fantastic 
18978,the film is  at its core  deeply pessimistic or quietly hopeful 
18979,because it has a biggername cast 
18980,the high standards 
18981,broomfield has a rather unique approach to documentary  
18982,inescapable absurdities 
18983,of outrageous force and craven concealment 
18984,is capped with pointless extremes 
18985,clever  offbeat and even gritty enough 
18986,vivid  convincing performances 
18987,love  longing  
18988,s truly awful and heartbreaking subject matter  but one whose lessons are well worth revisiting as many times as possible 
18989,transcend genre 
18990,deftly captures 
18991,if the film s vision of sport as a secular religion is a bit cloying  its throughline of family and community is heartening in the same way that each season marks a new start  
18992,high standards 
18993,its clumsiness 
18994, it is a great film  
18995,even elizabeth hurley seem graceless and ugly 
18996,me uncomfortably close to losing my lunch 
18997,in its recycled aspects  implausibility  and sags in pace 
18998,thanks to the presence 
18999,a completely spooky piece of business that gets under your skin and  some plot blips aside  stays there for the duration  
19000,forgets about her other obligations  leading to a tragedy which is somehow guessable from the first few minutes  maybe because it echoes the by now intolerable morbidity of so many recent movies  
19001,genre a bad name 
19002,the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this  i assume the director has pictures of them cavorting in ladies  underwear  
19003,my least favorite emotions  especially when i have to put up with 146 minutes of it 
19004,there are some laughs in this movie 
19005,just does nt have big screen magic 
19006,mounted  exasperatingly wellbehaved film  which ticks off kahlo s lifetime milestones with the dutiful precision of a tax accountant 
19007,potent exploration 
19008,schnieder bounces around with limp wrists  wearing tight tummy tops and hip huggers  twirling his hair on his finger and assuming that s enough to sustain laughs  
19009,can fully succeed at cheapening it  
19010,it with ring  an indisputably spooky film 
19011,the sweetest thing leaves a bitter taste  
19012,does little here but point at things that explode into flame 
19013,unholy 
19014,as immediate as the latest news footage from gaza and  because of its heightened  wellshaped dramas  twice as powerful 
19015,often demented in a good way  
19016,capra and cooper are rolling over in their graves 
19017,4ever is neither a promise nor a threat so much as wishful thinking  
19018,an extremely flat lead performance 
19019,this is dicaprio s best performance in anything ever  and easily the most watchable film of the year  
19020,is almost entirely witless and inane  
19021,is worse 
19022,own idiosyncratic way 
19023,the movie will likely set the cause of woman warriors back decades  
19024,rich and 
19025,has a welldeserved reputation as one of the cinema world s great visual stylists 
19026,typical toback machinations 
19027,creepycrawly bug things that live only in the darkness 
19028,enormous feeling 
19029,an infinitely wittier version 
19030,takes great pleasure in watching the resourceful molly stay a step ahead of her pursuers  
19031,creative film 
19032,singularly offputting romantic comedy  
19033,anteing up some movie star charisma 
19034,ll feel like you ate a reeses without the peanut butter 
19035,does nt add anything fresh to the myth  
19036,good spirits 
19037,the nonconformist in us 
19038,blandness 
19039,finds one of our most conservative and hidebound moviemaking traditions and gives it new texture  new relevance  new reality  
19040,shift 
19041,admire it and yet can not recommend it  because it overstays its natural running time  
19042,made off with your wallet 
19043,the art demands live viewing  
19044,heartening in the same way 
19045,you know the picture is in trouble  
19046,more goodies 
19047,japan s wildest filmmaker gives us a crime fighter carrying more emotional baggage than batman  
19048,subtlety and acumen 
19049,the stills might make a nice coffee table book 
19050,with spike lee s masterful 
19051,chimes in on the grieving process and 
19052,bilked 
19053,wiseman s warmest 
19054,captivating as the rowdy participants think it is 
19055,behind cutesy film references 
19056, i have given this movie a rating of zero  
19057,if you go  pack your knitting needles  
19058,a witty  lowkey romantic comedy 
19059,is very choppy and monosyllabic despite the fact that it is being dubbed  
19060,many excesses 
19061,mexico s most colorful and controversial artists 
19062,a modicum of patience 
19063,for the toilet and scores a direct hit 
19064, based on true events   a convolution of language that suggests it s impossible to claim that it is  based on a true story  with a straight face  
19065,distinguish one scifi work 
19066,at little kids but with plenty of entertainment value 
19067,idemoto and kim make a gorgeous pair  their scenes brim with sexual possibility and emotional danger 
19068,its compelling mix of trial movie  escape movie and unexpected fable 
19069,like a mediumgrade network sitcom  mostly inoffensive 
19070,trying to make head or tail of the story in the hiphop indie snipes is enough to give you brain strain  and the payoff is negligible  
19071,they just do nt work in concert  
19072,even a story immersed in love  lust  and sin could nt keep my attention 
19073,is on his way to becoming the american indian spike lee 
19074,a haunting sense of malaise 
19075,happy  heady jumble 
19076, it s really unclear why this project was undertaken 
19077,lost in the  soontobeforgettable  section of the quirky ripoff prison romp pile 
19078,aimed mainly at little kids but with plenty of entertainment value 
19079,combined with stunning animation  
19080,added disdain 
19081,warmth and longing 
19082,plain old 
19083,is validated by the changing composition of the nation 
19084,the promise of excitement 
19085,scathing 
19086,buckaroo 
19087,competent performers 
19088,grueling 
19089,tv cop show cliches 
19090,both a level of sophisticated intrigue and humanscale characters that suck the audience in 
19091,to please its intended audience  children  without placing their parents in a comalike state 
19092,that shows its indie tatters and selfconscious seams in places  but has some quietly moving moments and an intelligent subtlety 
19093,works  mostly due to its superior cast 
19094,a good oldfashioned adventure 
19095,or  worse yet  nonexistent  
19096,scotland  pa would be forgettable if it were nt such a clever adaptation of the bard s tragic play  
19097,with grace and humor and 
19098,a director who understands how to create and sustain a mood 
19099,falls short on tension  eloquence  spiritual challenge  things that have made the original new testament stories so compelling for 20 centuries 
19100,you ll wait in vain for a movie to happen  
19101,a remarkably cohesive whole  
19102,slack complacency 
19103,is the piece works brilliantly  
19104,minimal appreciation 
19105,lacking the real talent and wit to elevate it beyond its formula to the level of classic romantic comedy to which it aspires 
19106,even better 
19107, the film shows signs that someone other than the director got into the editing room and tried to improve things by making the movie go faster  
19108,episode ii  attack of the clones is a technological exercise that lacks juice and delight  
19109,ice age wo nt drop your jaw  but it will warm your heart  and i m giving it a strong thumbs up 
19110,these people 
19111, the road paved with good intentions leads to the video store  
19112,oldfashioned but thoroughly satisfying entertainment 
19113,reason to go 
19114,of a callow rich boy who is forced to choose between his beautiful  selfsatisfied 22yearold girlfriend and an equally beautiful  selfsatisfied 18yearold mistress 
19115,cheesy dialogue 
19116,is meaningless  vapid and devoid of substance  
19117,is both a snore and utter tripe  
19118,is confused in death to smoochy into something both ugly and mindless 
19119,of a selfdestructive man 
19120,i last walked out on a movie 
19121,is always sympathetic 
19122,delightfully cheeky 
19123,a thriller with an edge  
19124,in the worst way 
19125,an ease in front of the camera 
19126,noisy and 
19127,with attractive men 
19128,straining to get by on humor that is not even as daring as john ritter s glory days on three s company 
19129,enjoyable  if occasionally flawed  experiment 
19130,unclean 
19131,a portrait of alienation so perfect 
19132,overwhelming pleasure 
19133,lousy movie 
19134,of the dry humor that first made audiences on both sides of the atlantic love him 
19135,teaming 
19136,is found in its ability to spoof both black and white stereotypes equally 
19137,made up for its rather slow beginning 
19138,quite the genrebusting film 
19139,guess why the cast and crew did nt sign a pact to burn the negative and the script and pretend the whole thing never existed 
19140,episodic choppiness  undermining the story s emotional thrust 
19141,as you watch them clumsily mugging their way through snow dogs  
19142,what punk 
19143,the sentimental ohthosewackybrits genre that was ushered in by the full monty and is still straining to produce another smash 
19144,a superfluous sequel  plagued by that old familiar feeling of  let s get this thing over with   everyone has shown up at the appointed time and place  but 
19145,of childhood innocence combined with indoctrinated prejudice 
19146,of more selfabsorbed women than the mother and daughters featured in this film 
19147,love the robust middle of this picture 
19148,filled with more holes than clyde barrow s car 
19149,sneering humor 
19150, you have to give the audience a reason to want to put for that effort 
19151,of how horrible we are to ourselves and each other 
19152,everybody  wan na watch a movie in which a guy dressed as a children s party clown gets violently gangraped  
19153,most daring  and 
19154,ultimate x is the gabbiest giantscreen movie ever  bogging down in a barrage of hype  
19155,initially gripping  eventually cloying pow drama  
19156,not a classic  
19157,he script is nt up to the level of the direction 
19158,the performances  for the most part  credible 
19159,thought the relationships were wonderful 
19160,combines the enigmatic features of  memento  with the hallucinatory drug culture of  requiem for a dream 
19161,us  is a man who uses the damage of war  far more often than the warfare itself  to create the kind of art shots that fill gallery shows 
19162,the film runs on a little longer than it needs to  muccino either does nt notice when his story ends or just ca nt tear himself away from the characters  but 
19163,of character portrait  romantic comedy and beattheclock thriller 
19164,a heady  biting  bebop ride through nighttime manhattan  a loquacious videologue of the modern male and the lengths to which he ll go to weave a protective cocoon around his own ego  
19165,no lie 
19166,no new friends 
19167,more appealing holidayseason product 
19168,beautifully reclaiming the story of carmen and recreating it an in an african idiom 
19169, a sour little movie at its core  an exploration of the emptiness that underlay the relentless gaiety of the 1920 s  the film s ending has a  what was it all for 
19170,while it forces you to ponder anew what a movie can be 
19171,the script boasts some tart tvinsider humor  but the film has not a trace of humanity or empathy  
19172,artistic aspirations 
19173,infamy 
19174,swimming is above all about a young woman s face  and by casting an actress whose face projects that woman s doubts and yearnings 
19175,downhill as soon as macho action conventions assert themselves 
19176,this bold move works 
19177, grant and bullock s characters are made for each other  
19178,is hartley s least accessible screed yet  
19179,compassionately explores the seemingly irreconcilable situation between conservative christian parents and their estranged gay and lesbian children  
19180,an honest  sensitive story from a vietnamese point of view  
19181,leaves something to be desired  
19182,what lifts the film high above runofthefilth gangster flicks 
19183,several plodding action sequences 
19184,a worthy entry 
19185,is exhaustion  from watching a movie that is dark  dark green  to be exact   sour  bloody and mean  
19186,yearning for adventure and a chance to prove his worth 
19187,of dead bodies 
19188,s a film that affirms the nourishing aspects of love and companionship  
19189,a sharp satire 
19190,an inconsequential  barely there bit of piffle  
19191,aimed at mom and dad s wallet 
19192,chilling 
19193,the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be  
19194,the best kind 
19195,skullduggery and 
19196,competently directed but terminally cute drama  
19197,peril 
19198,nothing about the film  with the possible exception of elizabeth hurley s breasts  is authentic  
19199,good measure 
19200,bluer than the atlantic and more biologically detailed than an autopsy  the movie 
19201,a heroine as feisty and 
19202,romp of a film 
19203,deserving of its critical backlash and more  
19204,a flashy editing style 
19205,s not so much a movie as a joint promotion for the national basketball association and teenaged rap and adolescent posterboy lil  bow wow 
19206,this deeply touching melodrama 
19207,that we have come to love 
19208, barbershop gets its greatest play from the timeless spectacle of people really talking to each other  
19209,watchable 
19210,is the best little  horror  movie i ve seen in years  
19211,s worth taking the kids to  
19212,ugly  revolting movie 
19213,is that it s a crime movie made by someone who obviously knows nothing about crime  
19214,but the 2002 film does nt really believe in it  and breaks the mood with absurdly inappropriate  comedy  scenes  
19215,at least he provides a strong itch to explore more  
19216,achieved 
19217,depressed about anything before watching this film 
19218, corpus and its amiable jerking and reshaping of physical time and space 
19219,light  silly 
19220,the incessant use of cell phones 
19221,of astonishing grandeur 
19222,a depressingly retrograde   postfeminist  romantic comedy that takes an astonishingly condescending attitude toward women 
19223,more spirit and bite than your average formulaic romantic quadrangle 
19224,moving in many directions as it searches  vainly  i think  for something fresh to say 
19225,a shame that stealing harvard is too busy getting in its own way to be anything but frustrating  boring  and forgettable  
19226,an undeniably moving film to experience  and ultimately that s what makes it worth a recommendation  
19227,takes every potential laugh and stilettostomps the life out of it 
19228,should have stayed there  
19229,a matter of finding entertainment in the experiences of zishe and the fiery presence of hanussen 
19230,unexpectedly moving meditation 
19231,avoiding eye contact and walking slowly away 
19232,too crude to serve the work especially well 
19233,treacly films about inspirational prepschool professors and the children they so heartwarmingly motivate 
19234, refreshing 
19235,the cleverness  the weirdness and 
19236,it s incredible the number of stories the holocaust has generated  
19237,visually masterful 
19238,slap her  she s not funny 
19239,highly pleasurable 
19240,the politics that thump through it are as timely as tomorrow 
19241,the evocative imagery and gentle  lapping rhythms of this film are infectious  it gets under our skin and draws us in long before the plot kicks into gear  
19242,whether it s the worst movie of 2002  i ca nt say for sure 
19243,full of life  hand gestures  and some 
19244,the most exciting action films 
19245,gradually sneaks up on the audience 
19246,good oldfashioned adventure 
19247,much of all about lily chouchou is mesmerizing  
19248,clear and reliable an authority 
19249,boasts at least a few good ideas and features some decent performances 
19250,find millions of eager fans 
19251,formidable arithmetic 
19252,distinctly subpar  more likely to drown a viewer in boredom than to send any shivers down his spine 
19253,for this sensuous and spirited tale of a prim widow who finds an unlikely release in bellydancing clubs 
19254,so appealing about the characters 
19255,wimps out by going for that pg13 rating  so the more graphic violence is mostly offscreen and the sexuality is muted  
19256,love reading andor poetry 
19257,and powerful documentary 
19258,is faster  livelier and a good deal funnier than his original 
19259,get him a few laughs but nothing else 
19260, the frenchproduced  read my lips  is a movie that understands characters must come first  
19261,it s waltzed itself into the art film pantheon  
19262,explains its characters  decisions only unsatisfactorily 
19263,without much success 
19264,comes far closer than many movies 
19265,go hand in hand with talent 
19266,a solidly entertaining 
19267,nevertheless efficiently amusing for a good while 
19268,s a great deal of corny dialogue and preposterous moments 
19269,for the viewer to doze off for a few minutes or make several runs to the concession stand andor restroom and not feel as if he or she has missed anything 
19270,slow and ponderous  but rohmer s drama builds to an intense indoor drama about compassion  sacrifice  and christian love in the face of political corruption 
19271,long on glamour 
19272,strangely comes off as a kingdom more mild than wild  
19273,sweet and memorable film  
19274,nothing at the core of this slight comingofagecomingout tale 
19275,find that real natural  evenflowing tone 
19276,harsh objectivity and refusal 
19277,authentic account 
19278,yet it s potentially just as rewarding 
19279,of those rare films that come by once in a while with flawless amounts of acting  direction  story and pace 
19280,anthony asquith s acclaimed 1952 screen adaptation 
19281,is clearly extraordinarily talented 
19282,delivers a terrific performance in this fascinating portrait of a modern lothario 
19283,something of a public service  
19284,its thrills and extreme emotions 
19285, miller  kuras and the actresses make personal velocity into an intricate  intimate and intelligent journey  
19286,the film does nt have enough innovation or pizazz to attract teenagers  
19287,to send your regrets 
19288,could fail to respond 
19289,much too conventional  lots of boring talking heads  etc  to do the subject matter justice 
19290,with the best of them 
19291,classic fairy tale 
19292,the pretensions  and disposable story  
